Cherenkov Firing Summary

====================================


===== e⁺ (mass = 0.000511 GeV) =====

E=  5.00 GeV | β=0.98383 | γ=5.583 | p=4.919 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 10.00 GeV | β=0.99598 | γ=11.166 | p=9.960 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 20.00 GeV | β=0.99900 | γ=22.333 | p=19.980 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 30.00 GeV | β=0.99955 | γ=33.499 | p=29.987 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 40.00 GeV | β=0.99975 | γ=44.665 | p=39.990 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 60.00 GeV | β=0.99989 | γ=66.998 | p=59.993 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 80.00 GeV | β=0.99994 | γ=89.331 | p=79.995 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E=100.00 GeV | β=0.99996 | γ=111.663 | p=99.996 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E=120.00 GeV | β=0.99997 | γ=133.996 | p=119.997 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: FIRE
E=160.00 GeV | β=0.99998 | γ=178.661 | p=159.997 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE

===== proton (mass = 0.938272 GeV) =====

E=  5.00 GeV | β=0.98224 | γ=5.329 | p=4.911 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 10.00 GeV | β=0.99559 | γ=10.658 | p=9.956 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 20.00 GeV | β=0.99890 | γ=21.316 | p=19.978 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 30.00 GeV | β=0.99951 | γ=31.974 | p=29.985 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 40.00 GeV | β=0.99972 | γ=42.632 | p=39.989 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 60.00 GeV | β=0.99988 | γ=63.947 | p=59.993 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 80.00 GeV | β=0.99993 | γ=85.263 | p=79.994 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E=100.00 GeV | β=0.99996 | γ=106.579 | p=99.996 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E=120.00 GeV | β=0.99997 | γ=127.895 | p=119.996 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: FIRE
E=160.00 GeV | β=0.99998 | γ=170.526 | p=159.997 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE
