Cherenkov Firing Summary

====================================


===== e⁺ (mass = 0.000511 GeV) =====

E= 30.00 GeV | β=0.99986 | γ=60.768 | p=29.996 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 40.00 GeV | β=0.99992 | γ=81.025 | p=39.997 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 60.00 GeV | β=0.99997 | γ=121.537 | p=59.998 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: FIRE
E= 80.00 GeV | β=0.99998 | γ=162.049 | p=79.998 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE
E=100.00 GeV | β=0.99999 | γ=202.562 | p=99.999 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE
E=120.00 GeV | β=0.99999 | γ=243.074 | p=119.999 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=160.00 GeV | β=1.00000 | γ=324.099 | p=159.999 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE

===== η (mass = 0.547862 GeV) =====

E=  5.00 GeV | β=0.99398 | γ=9.126 | p=4.970 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 10.00 GeV | β=0.99850 | γ=18.253 | p=9.985 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 20.00 GeV | β=0.99962 | γ=36.506 | p=19.992 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 30.00 GeV | β=0.99983 | γ=54.758 | p=29.995 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 40.00 GeV | β=0.99991 | γ=73.011 | p=39.996 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 60.00 GeV | β=0.99996 | γ=109.517 | p=59.997 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 80.00 GeV | β=0.99998 | γ=146.022 | p=79.998 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: FIRE
E=100.00 GeV | β=0.99998 | γ=182.528 | p=99.998 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE
E=120.00 GeV | β=0.99999 | γ=219.033 | p=119.999 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE
E=160.00 GeV | β=0.99999 | γ=292.044 | p=159.999 GeV | 0.3bar: FIRE, 0.6bar: FIRE, 1.0bar: FIRE

===== η′ (mass = 0.957780 GeV) =====

E=  5.00 GeV | β=0.98148 | γ=5.220 | p=4.907 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 10.00 GeV | β=0.99540 | γ=10.441 | p=9.954 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 20.00 GeV | β=0.99885 | γ=20.882 | p=19.977 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
